age,job,marital,education,balance,housing,loan,y
30,unemployed,single,tertiary,306,no,no,no
57,services,divorced,secondary,1024,yes,no,no
30,technician,single,tertiary,975,yes,no,no
40,admin.,married,secondary,1327,yes,yes,no
46,technician,married,unknown,626,yes,no,no
43,blue-collar,married,primary,-93,yes,no,no
35,blue-collar,married,primary,442,yes,no,no
38,unemployed,married,tertiary,1449,no,no,no
44,blue-collar,married,primary,-544,yes,yes,no
43,management,married,tertiary,-69,yes,no,no
37,services,married,secondary,1785,yes,no,no
35,technician,divorced,secondary,-94,yes,no,no
33,blue-collar,married,secondary,941,yes,no,no
43,admin.,married,secondary,-204,yes,no,no
33,technician,married,tertiary,480,yes,no,no
31,management,divorced,tertiary,1145,yes,no,yes
32,technician,married,secondary,782,yes,no,no
28,blue-collar,married,secondary,339,yes,no,no
36,technician,married,secondary,4587,no,no,no
33,blue-collar,married,primary,1050,yes,no,no
37,blue-collar,married,secondary,1147,yes,yes,no
39,blue-collar,married,primary,879,yes,no,no
45,blue-collar,married,secondary,0,yes,no,no
44,admin.,married,secondary,0,no,no,no
53,blue-collar,married,secondary,974,yes,no,no
47,blue-collar,married,secondary,-614,yes,no,no
59,management,married,primary,252,yes,yes,no
0,admin.,married,secondary,953,yes,no,no
45,management,married,secondary,5888,yes,no,no
30,services,married,secondary,129,yes,no,yes
40,blue-collar,married,secondary,5880,yes,no,no
33,management,married,tertiary,403,yes,no,no
30,admin.,married,secondary,1265,yes,yes,yes
26,admin.,married,tertiary,685,yes,no,no
45,management,divorced,tertiary,-901,yes,no,no
33,management,single,secondary,99,yes,no,no
28,technician,single,secondary,541,yes,no,no
44,blue-collar,married,primary,3057,yes,no,no
58,blue-collar,married,secondary,343,yes,no,no
46,management,single,tertiary,479,yes,no,no
48,blue-collar,married,secondary,2697,yes,yes,no
24,management,single,tertiary,66,yes,no,no
35,technician,divorced,secondary,303,yes,yes,no
33,technician,married,secondary,168,yes,no,no
37,blue-collar,married,primary,-196,yes,no,no
33,management,single,secondary,0,yes,no,no
23,blue-collar,married,secondary,-213,yes,yes,no
33,admin.,single,secondary,4436,yes,no,no
31,blue-collar,married,secondary,27,yes,yes,no
29,technician,single,secondary,1612,yes,no,no
43,technician,divorced,secondary,87,yes,no,no
32,unemployed,married,primary,9894,yes,no,no
37,technician,married,secondary,4030,yes,no,no
26,blue-collar,single,secondary,339,yes,no,no
49,technician,married,secondary,-215,yes,no,no
39,management,single,tertiary,26,yes,yes,no
27,self-employed,married,secondary,-220,yes,no,no
33,technician,single,secondary,440,yes,no,no
46,management,divorced,tertiary,25,no,no,no
31,services,single,secondary,0,yes,no,no
54,retired,married,secondary,-152,yes,yes,no
59,services,married,secondary,-22,yes,no,yes
24,blue-collar,married,secondary,685,yes,no,yes
33,blue-collar,married,secondary,-367,yes,yes,no
28,technician,single,secondary,289,yes,no,no
34,services,married,secondary,1414,yes,no,no
53,management,married,primary,-421,yes,no,no
45,blue-collar,married,secondary,607,yes,no,no
28,technician,single,secondary,576,yes,yes,no
49,blue-collar,married,primary,365,no,no,no
35,blue-collar,married,secondary,1209,yes,no,no
32,blue-collar,married,primary,5151,yes,yes,no
43,services,married,primary,448,yes,no,no
29,self-employed,married,secondary,0,no,no,no
54,management,single,tertiary,1464,yes,yes,no
39,entrepreneur,married,tertiary,36,yes,no,no
32,technician,single,secondary,4110,yes,no,no
26,services,single,secondary,901,yes,no,yes
31,unemployed,married,secondary,314,yes,no,no
52,blue-collar,divorced,secondary,306,yes,no,no
32,technician,married,tertiary,1037,yes,no,no
41,blue-collar,married,primary,-571,yes,yes,no
40,technician,married,secondary,96,yes,yes,no
45,blue-collar,married,secondary,-376,yes,no,no
37,blue-collar,married,primary,445,yes,no,no
34,blue-collar,married,primary,60,yes,no,no
31,blue-collar,single,secondary,823,no,no,no
42,admin.,divorced,secondary,-551,yes,yes,no
23,services,married,secondary,0,yes,yes,no
37,management,married,tertiary,23,yes,no,no
32,blue-collar,single,secondary,70,yes,no,no
39,blue-collar,married,secondary,474,yes,yes,no
31,blue-collar,single,secondary,3201,yes,no,no
32,blue-collar,married,primary,4,yes,no,no
59,retired,married,primary,0,yes,no,no
31,unemployed,single,secondary,-186,yes,no,no
45,technician,divorced,secondary,159,yes,no,no
36,technician,married,secondary,452,yes,no,no
33,blue-collar,married,secondary,61,yes,no,no
34,blue-collar,married,primary,6575,yes,no,no
48,management,married,secondary,2294,yes,no,no
55,blue-collar,single,primary,39,yes,no,no
33,admin.,divorced,secondary,392,yes,yes,no
28,services,single,secondary,-358,yes,no,no
34,blue-collar,married,primary,1255,yes,yes,no
33,blue-collar,married,secondary,-271,yes,yes,no
60,retired,married,primary,-382,yes,no,no
39,blue-collar,married,primary,2805,yes,no,no
35,blue-collar,married,secondary,229,no,no,no
31,management,married,unknown,0,yes,no,no
38,blue-collar,married,primary,2366,yes,no,no
28,student,single,secondary,4716,yes,no,no
48,blue-collar,married,secondary,1631,yes,no,no
37,blue-collar,single,secondary,3344,yes,no,no
32,admin.,divorced,secondary,-331,yes,yes,no
30,services,single,tertiary,108,yes,no,no
37,management,single,tertiary,337,yes,no,no
24,management,single,tertiary,553,yes,no,no
30,blue-collar,single,secondary,3532,yes,no,no
33,services,married,secondary,2065,yes,yes,no
33,management,married,tertiary,133,yes,no,no
34,management,single,tertiary,72,yes,no,no
43,services,married,secondary,278,yes,no,no
41,services,married,secondary,2085,yes,no,no
34,blue-collar,married,secondary,247,yes,yes,no
46,technician,divorced,secondary,1,yes,yes,no
32,technician,single,secondary,6471,yes,yes,no
52,blue-collar,married,unknown,-4,no,no,no
35,blue-collar,married,primary,77,yes,no,no
27,technician,married,secondary,639,yes,no,no
36,blue-collar,married,secondary,-870,yes,no,no
52,blue-collar,married,primary,-63,yes,no,no
47,management,married,tertiary,-1379,yes,no,no
34,management,married,tertiary,4131,yes,no,no
38,entrepreneur,single,tertiary,-281,yes,no,no
24,blue-collar,married,secondary,9,yes,no,no
50,technician,single,secondary,-463,yes,no,no
36,blue-collar,married,secondary,3935,yes,yes,no
37,entrepreneur,married,secondary,35,yes,yes,no
51,blue-collar,married,primary,51,no,no,no
40,blue-collar,single,secondary,0,yes,no,no
39,technician,married,secondary,7137,yes,no,no
38,services,single,secondary,0,yes,no,no
43,management,single,secondary,109,yes,no,no
50,technician,married,secondary,-157,yes,no,no
35,unemployed,married,tertiary,226,no,no,no
49,management,married,secondary,6758,yes,yes,no
36,blue-collar,married,secondary,-185,yes,no,no
47,technician,divorced,tertiary,48,no,no,no
54,management,married,tertiary,1353,yes,no,no
48,admin.,married,primary,3,yes,no,no
43,admin.,married,secondary,429,yes,no,no
49,blue-collar,married,secondary,134,yes,yes,no
32,admin.,single,secondary,-15,no,no,no
42,admin.,married,secondary,208,yes,no,no
38,blue-collar,married,primary,27,yes,no,no
44,blue-collar,divorced,secondary,-222,yes,no,no
31,management,married,tertiary,91,no,no,no
30,admin.,married,tertiary,612,yes,no,no
38,management,divorced,tertiary,5455,yes,no,no
60,entrepreneur,divorced,secondary,1307,yes,no,no
35,management,married,tertiary,4038,yes,yes,no
29,blue-collar,married,secondary,2776,yes,no,no
43,services,married,secondary,0,yes,no,no
36,admin.,married,secondary,0,yes,no,no
29,blue-collar,married,primary,1016,yes,no,no
53,technician,married,secondary,87,yes,no,no
38,technician,married,secondary,508,yes,no,no
59,retired,single,secondary,351,yes,no,yes
28,blue-collar,single,secondary,352,yes,yes,no
36,services,single,secondary,203,yes,no,no
40,admin.,married,primary,189,yes,no,no
36,management,married,tertiary,293,yes,no,no
58,management,divorced,tertiary,-197,yes,no,no
49,self-employed,married,primary,489,yes,no,no
43,blue-collar,married,primary,-124,yes,no,no
55,technician,married,secondary,150,yes,yes,no
35,blue-collar,married,secondary,-185,yes,yes,no
50,blue-collar,married,secondary,74,yes,yes,no
48,blue-collar,married,secondary,653,yes,no,no
28,services,single,tertiary,737,yes,yes,no
34,services,single,secondary,-92,yes,no,no
37,blue-collar,married,secondary,132,no,no,no
33,technician,divorced,secondary,-119,yes,no,no
58,admin.,married,secondary,92,yes,no,no
44,blue-collar,single,secondary,-215,yes,no,no
49,technician,married,secondary,-849,yes,yes,no
28,blue-collar,married,primary,32,yes,no,no
39,technician,married,secondary,214,yes,no,no
26,admin.,married,secondary,3160,yes,no,no
31,blue-collar,married,primary,0,yes,no,no
32,blue-collar,married,secondary,-1500,yes,no,no
52,admin.,married,secondary,876,no,no,no
32,services,married,secondary,-124,no,no,no
28,entrepreneur,married,secondary,8,yes,no,no
32,management,married,tertiary,3517,yes,no,no
28,blue-collar,married,primary,46,yes,no,no
53,technician,married,secondary,-725,yes,no,yes
33,technician,single,secondary,810,yes,no,no
39,management,single,tertiary,-50,yes,no,no
37,technician,married,secondary,-21,yes,no,no
45,technician,married,unknown,473,yes,no,no
37,services,married,secondary,-24,yes,no,no
45,blue-collar,married,secondary,-302,yes,no,no
31,blue-collar,married,secondary,557,yes,yes,no
32,blue-collar,married,secondary,-238,yes,no,no
34,blue-collar,married,primary,-106,yes,no,no
39,housemaid,married,primary,-44,yes,no,no
56,blue-collar,married,primary,373,yes,no,no
32,technician,single,secondary,535,yes,yes,no
31,technician,married,secondary,169,yes,no,no
43,admin.,married,secondary,372,yes,no,no
33,technician,married,secondary,-1040,yes,yes,no
23,admin.,married,secondary,836,yes,no,no
32,admin.,married,secondary,17,yes,no,no
32,management,divorced,tertiary,-634,yes,yes,no
39,blue-collar,married,secondary,-131,yes,yes,no
39,services,single,secondary,326,yes,no,no
30,entrepreneur,single,primary,0,yes,yes,yes
37,unknown,single,secondary,57,yes,no,no
46,management,married,primary,-268,yes,no,no
29,technician,single,secondary,115,no,no,no
51,blue-collar,married,primary,-26,yes,no,no
46,blue-collar,married,secondary,-371,yes,no,no
31,admin.,single,secondary,4388,yes,no,no
40,blue-collar,married,primary,-335,yes,no,no
26,technician,divorced,tertiary,3154,yes,yes,no
32,admin.,married,secondary,-458,no,no,no
27,admin.,married,secondary,1475,yes,no,no
36,services,divorced,secondary,-330,yes,yes,no
36,blue-collar,married,unknown,-417,yes,no,no
27,admin.,single,secondary,0,yes,no,no
56,management,divorced,tertiary,408,yes,no,no
28,blue-collar,married,secondary,110,yes,no,no
34,management,married,secondary,-294,yes,no,no
34,blue-collar,married,secondary,-61,yes,no,no
45,technician,divorced,secondary,23,yes,no,no
40,admin.,married,secondary,3087,yes,yes,no
25,blue-collar,single,secondary,-187,yes,yes,no
32,admin.,single,secondary,146,no,no,no
28,management,single,tertiary,939,yes,no,yes
33,blue-collar,married,primary,1217,yes,no,no
32,blue-collar,married,primary,-11,yes,no,no
36,admin.,single,unknown,-69,yes,no,no
38,admin.,divorced,secondary,-212,yes,no,no
23,admin.,single,secondary,345,yes,no,no
22,technician,single,secondary,356,yes,no,no
56,retired,divorced,secondary,-663,yes,no,no
35,blue-collar,single,secondary,-482,yes,no,no
33,services,divorced,secondary,991,yes,no,no
30,blue-collar,married,secondary,501,yes,yes,no
34,admin.,married,secondary,256,no,no,no
59,retired,married,secondary,-48,yes,no,no
26,admin.,married,secondary,1641,yes,no,no
42,admin.,married,secondary,818,yes,no,no
48,blue-collar,married,secondary,154,yes,no,no
31,services,married,secondary,-641,yes,yes,no
28,entrepreneur,single,tertiary,219,yes,no,no
36,admin.,married,secondary,1867,yes,yes,no
27,student,single,unknown,910,yes,yes,no
39,blue-collar,married,primary,34,yes,no,no
35,technician,married,tertiary,712,yes,no,no
28,management,single,tertiary,0,yes,no,no
32,technician,married,tertiary,168,no,no,no
28,blue-collar,single,secondary,1025,yes,no,no
34,blue-collar,married,secondary,457,yes,yes,no
51,blue-collar,married,primary,109,yes,no,no
50,management,married,secondary,-44,yes,no,no
49,unemployed,married,primary,-384,yes,no,no
36,management,single,tertiary,3875,yes,no,no
55,technician,married,secondary,1004,yes,yes,no
58,management,divorced,tertiary,-71,no,no,no
41,services,married,secondary,33,yes,yes,no
29,admin.,single,tertiary,2904,yes,no,no
36,entrepreneur,married,tertiary,271,yes,no,no
24,admin.,single,secondary,-507,yes,no,no
31,management,single,tertiary,1411,yes,no,no
30,management,single,tertiary,3773,yes,no,no
24,technician,single,tertiary,1954,yes,yes,no
36,blue-collar,married,primary,244,yes,no,no
51,blue-collar,divorced,secondary,216,yes,no,no
23,blue-collar,single,primary,-627,yes,yes,no
26,blue-collar,single,primary,619,yes,yes,no
29,services,single,tertiary,2564,yes,no,no
41,self-employed,married,primary,-8,yes,no,no
35,services,married,secondary,505,yes,yes,no
42,services,married,secondary,-43,yes,yes,no
29,services,married,secondary,1057,yes,no,no
34,entrepreneur,married,secondary,-139,yes,yes,no
34,management,single,tertiary,13,yes,no,no
58,retired,married,primary,90,yes,no,no
31,blue-collar,married,secondary,203,yes,no,no
32,management,married,tertiary,-383,yes,no,no
56,management,divorced,tertiary,-676,yes,yes,no
34,blue-collar,single,secondary,1698,yes,no,no
30,blue-collar,married,secondary,-269,yes,no,no
31,management,single,tertiary,2124,yes,no,no
28,student,single,secondary,4793,no,no,no
57,management,single,tertiary,33,yes,no,no
35,blue-collar,single,primary,21,yes,no,no
46,technician,divorced,secondary,119,yes,no,no
51,management,married,tertiary,0,no,no,no
38,blue-collar,married,primary,315,yes,no,no
33,services,divorced,secondary,-395,yes,no,no
21,blue-collar,married,secondary,223,yes,no,no
38,technician,single,secondary,145,yes,no,no
49,admin.,divorced,secondary,333,yes,no,no
54,blue-collar,married,primary,3170,yes,no,no
42,admin.,single,secondary,-847,yes,no,no
44,blue-collar,divorced,primary,68,yes,no,no
31,services,married,secondary,-704,yes,no,no
52,technician,divorced,secondary,388,yes,yes,no
27,self-employed,single,tertiary,270,yes,no,no
33,blue-collar,married,secondary,-241,yes,yes,no
40,technician,married,secondary,56,yes,yes,no
57,housemaid,married,primary,411,yes,no,no
52,services,married,primary,-585,yes,yes,no
30,technician,single,secondary,1534,yes,no,no
25,blue-collar,single,secondary,-143,yes,yes,no
36,admin.,married,secondary,68,yes,yes,no
51,blue-collar,single,secondary,936,yes,no,no
32,admin.,single,secondary,13,yes,no,no
44,admin.,divorced,secondary,-88,yes,no,no
26,technician,divorced,secondary,21,yes,no,no
54,admin.,divorced,secondary,-288,yes,no,no
27,blue-collar,single,secondary,87,yes,no,no
37,admin.,married,secondary,274,yes,no,yes
30,services,married,secondary,357,yes,no,no
46,technician,married,secondary,-337,yes,no,no
36,services,single,secondary,-455,no,no,no
46,blue-collar,married,primary,258,yes,no,no
36,technician,married,secondary,474,yes,no,no
31,blue-collar,married,secondary,66,no,no,no
35,services,married,secondary,74,yes,no,no
25,blue-collar,single,secondary,2354,no,yes,no
21,admin.,single,unknown,-28,yes,no,no
30,management,married,tertiary,0,yes,no,no
44,technician,divorced,secondary,1196,yes,no,no
34,technician,single,secondary,486,yes,no,no
34,blue-collar,married,secondary,-76,yes,no,no
32,admin.,married,secondary,-370,yes,no,no
40,management,divorced,tertiary,290,yes,no,no
31,blue-collar,single,secondary,116,yes,no,no
29,admin.,single,secondary,915,yes,no,no
33,blue-collar,married,secondary,0,yes,no,no
47,admin.,divorced,secondary,-407,yes,no,no
31,services,married,secondary,-214,yes,no,no
29,blue-collar,married,primary,715,yes,no,no
31,admin.,single,secondary,-302,yes,yes,no
34,admin.,single,secondary,88,yes,no,no
28,student,single,tertiary,737,yes,no,no
42,admin.,married,primary,1547,yes,yes,no
29,blue-collar,married,secondary,975,yes,no,no
53,self-employed,married,primary,6,yes,no,no
39,blue-collar,married,secondary,459,yes,no,no
33,management,divorced,tertiary,723,yes,no,no
31,management,married,tertiary,1230,yes,no,no
34,services,married,secondary,0,no,no,no
43,unemployed,divorced,secondary,700,yes,no,no
33,blue-collar,married,tertiary,22,yes,no,no
33,admin.,divorced,secondary,479,yes,no,no
25,technician,married,unknown,776,yes,no,no
34,blue-collar,married,secondary,1575,yes,no,no
26,blue-collar,single,secondary,592,yes,yes,no
42,blue-collar,married,secondary,3052,yes,no,no
40,blue-collar,married,primary,-56,yes,no,no
33,blue-collar,married,primary,-159,yes,no,no
39,blue-collar,married,primary,1135,yes,no,no
24,self-employed,single,tertiary,2984,yes,no,yes
30,unemployed,married,secondary,-98,yes,no,no
49,management,married,tertiary,1304,yes,no,no
33,services,married,secondary,684,yes,no,no
39,management,divorced,tertiary,-999,yes,no,no
30,blue-collar,married,secondary,1196,no,no,no
49,technician,married,secondary,-353,yes,yes,no
60,technician,married,tertiary,1626,yes,yes,no
43,technician,single,secondary,33,yes,no,no
33,entrepreneur,married,secondary,-118,yes,yes,no
30,entrepreneur,married,secondary,1539,yes,yes,no
24,blue-collar,single,secondary,-438,yes,no,no
48,management,divorced,tertiary,108,yes,no,no
26,admin.,married,secondary,0,no,no,no
31,admin.,married,secondary,3052,yes,yes,no
36,management,married,tertiary,0,yes,no,no
36,management,married,tertiary,-825,no,no,no
31,blue-collar,single,secondary,1000,yes,yes,no
53,admin.,divorced,secondary,-120,yes,no,no
32,management,married,tertiary,124,no,no,no
47,technician,married,tertiary,-512,yes,yes,no
34,management,single,primary,212,no,no,no
43,management,divorced,tertiary,3257,yes,no,no
42,services,married,secondary,-437,yes,yes,no
34,admin.,married,secondary,-549,yes,yes,no
30,admin.,single,secondary,-213,yes,yes,yes
31,management,single,tertiary,-429,yes,yes,no
52,technician,married,secondary,2001,yes,no,no
27,admin.,single,secondary,1391,yes,no,no
51,technician,married,secondary,-1042,yes,no,no
38,management,single,tertiary,16957,yes,no,no
41,admin.,divorced,secondary,348,yes,no,no
60,technician,divorced,tertiary,-317,yes,no,no
53,blue-collar,married,primary,1715,yes,yes,no
56,retired,divorced,primary,-154,yes,no,no
37,entrepreneur,single,tertiary,-274,yes,yes,no
35,services,single,secondary,-267,yes,no,no
37,entrepreneur,married,tertiary,836,yes,no,no
35,management,married,secondary,1160,yes,no,no
44,services,married,secondary,-230,yes,yes,no
33,admin.,married,secondary,220,yes,no,no
36,admin.,divorced,secondary,-37,yes,no,no
27,services,single,secondary,1043,yes,no,no
34,blue-collar,married,secondary,763,yes,no,no
30,blue-collar,single,secondary,49,no,yes,no
33,management,single,tertiary,0,no,no,no
26,services,divorced,primary,633,yes,no,no
29,self-employed,married,secondary,-76,yes,no,no
33,technician,married,secondary,-616,yes,yes,no
30,technician,single,secondary,1359,yes,no,no
36,admin.,married,secondary,234,yes,no,no
36,admin.,divorced,secondary,-611,yes,no,no
47,management,divorced,tertiary,-363,yes,yes,no
37,blue-collar,divorced,secondary,-333,yes,no,no
32,blue-collar,married,primary,-275,yes,yes,no
28,unemployed,married,secondary,863,yes,yes,no
28,technician,married,secondary,839,yes,no,no
53,blue-collar,single,unknown,1555,yes,no,no
26,blue-collar,married,secondary,284,yes,no,no
42,unemployed,married,secondary,-165,yes,yes,no
29,management,single,tertiary,941,yes,no,no
32,admin.,single,secondary,223,yes,yes,no
46,management,married,tertiary,1285,yes,no,no
52,retired,divorced,secondary,246,yes,no,no
28,admin.,single,secondary,891,yes,no,no
45,entrepreneur,married,primary,-100,yes,no,no
25,blue-collar,single,primary,6,yes,yes,no
60,blue-collar,married,primary,93,no,yes,no
26,blue-collar,married,primary,-683,yes,yes,no
38,blue-collar,married,secondary,-220,yes,no,no
23,blue-collar,single,secondary,13,yes,yes,no
35,blue-collar,married,primary,1383,yes,no,
22,,single,secondary,0,yes,no,no
34,technician,single,secondary,-329,yes,no,no
41,services,married,secondary,1141,yes,no,no
28,management,single,tertiary,204,yes,no,no
32,services,single,secondary,38,yes,no,no
27,housemaid,married,secondary,22,yes,yes,no
25,blue-collar,single,secondary,154,yes,no,no
25,blue-collar,married,secondary,97,yes,no,yes
37,blue-collar,married,secondary,0,no,no,no
37,blue-collar,single,tertiary,1222,no,no,no
40,admin.,married,secondary,-666,yes,no,no
58,blue-collar,married,secondary,-37,yes,no,no
24,services,married,tertiary,0,yes,no,no
52,management,married,secondary,0,yes,yes,no
28,blue-collar,married,secondary,0,yes,no,no
29,technician,single,secondary,156,yes,no,no
30,technician,single,tertiary,445,yes,no,no
35,management,married,tertiary,-718,yes,yes,no
34,management,single,tertiary,3635,yes,no,no
51,management,married,tertiary,1944,yes,no,no
29,technician,single,secondary,316,yes,yes,no
35,management,married,tertiary,949,yes,no,no
32,services,single,secondary,259,yes,no,no
29,entrepreneur,married,secondary,452,yes,no,no
35,technician,divorced,secondary,-199,yes,no,no
28,blue-collar,married,secondary,781,yes,no,no
34,services,married,secondary,279,yes,no,no
32,services,married,secondary,-479,yes,no,no
24,technician,single,secondary,84,yes,no,no
45,admin.,divorced,secondary,1126,yes,no,no
25,services,married,secondary,4063,yes,no,no
33,services,married,secondary,1553,yes,no,no
42,blue-collar,married,secondary,68,yes,no,no
41,blue-collar,married,secondary,153,yes,no,no
35,services,married,secondary,843,yes,no,no
31,blue-collar,married,secondary,-325,yes,yes,no
29,management,single,secondary,0,yes,yes,no
26,technician,single,secondary,218,yes,no,no
46,blue-collar,married,primary,-326,yes,no,no
35,technician,single,secondary,-229,yes,no,no
53,management,married,primary,351,yes,no,no
31,technician,married,secondary,-360,yes,no,no
49,admin.,divorced,secondary,-203,yes,no,no
44,blue-collar,divorced,secondary,-239,yes,no,no
39,technician,married,secondary,768,yes,yes,no
28,management,married,tertiary,13186,yes,no,no
28,admin.,married,secondary,6429,yes,yes,no
31,management,married,tertiary,22867,yes,no,no
38,management,married,secondary,0,yes,no,no
30,blue-collar,single,secondary,-93,yes,no,no
29,management,married,tertiary,7832,yes,no,no
38,technician,married,secondary,-735,yes,no,no
31,admin.,single,secondary,-133,yes,no,no
24,technician,single,unknown,818,yes,yes,no
59,management,divorced,tertiary,844,no,yes,no
22,technician,single,secondary,28,yes,no,no
29,blue-collar,married,primary,79,yes,no,no
31,blue-collar,single,secondary,369,yes,yes,no
38,blue-collar,single,secondary,5891,yes,no,no
51,blue-collar,divorced,secondary,78,yes,no,no
27,admin.,married,secondary,186,yes,no,no
34,management,married,secondary,-311,yes,no,no
29,management,single,tertiary,10436,no,no,no
27,blue-collar,married,secondary,411,yes,yes,no
28,services,single,secondary,68,yes,no,no
38,services,married,secondary,133,yes,no,no
45,admin.,married,secondary,-173,yes,no,no
44,services,divorced,secondary,51,yes,yes,yes
27,admin.,married,secondary,132,yes,no,no
41,technician,married,secondary,-804,yes,yes,no
44,technician,divorced,secondary,-562,yes,no,no
41,technician,married,secondary,-274,yes,no,no
27,unemployed,single,secondary,0,yes,no,no
38,technician,married,secondary,254,yes,no,no
30,blue-collar,single,secondary,-477,yes,yes,no
31,blue-collar,married,secondary,175,yes,no,no
25,blue-collar,single,secondary,26,yes,no,no
32,blue-collar,married,secondary,49,yes,no,no
30,blue-collar,married,secondary,-202,no,no,no
30,management,single,tertiary,6164,yes,no,no
36,services,single,secondary,-330,yes,no,no
30,management,married,secondary,-397,yes,no,no
38,technician,married,secondary,750,yes,no,no
41,technician,married,tertiary,725,yes,yes,no
34,blue-collar,married,secondary,-1725,yes,no,no
45,unemployed,married,primary,180,yes,yes,no
36,blue-collar,married,secondary,-190,yes,no,no
34,blue-collar,single,secondary,-96,yes,no,no
30,blue-collar,married,primary,554,yes,no,no
36,services,single,secondary,-295,yes,yes,no
28,blue-collar,single,unknown,913,yes,no,no
29,entrepreneur,married,tertiary,3037,yes,no,no
36,services,single,secondary,9713,yes,no,no
32,management,single,tertiary,1410,yes,no,no
28,admin.,single,secondary,428,yes,yes,no
35,entrepreneur,married,tertiary,542,yes,yes,no
24,blue-collar,married,secondary,-254,yes,yes,no
36,technician,married,primary,1653,yes,yes,no
30,management,married,tertiary,-27,yes,no,no
35,technician,married,secondary,712,yes,no,no
34,blue-collar,single,secondary,3723,yes,no,no
32,services,married,secondary,-684,yes,no,no
26,blue-collar,married,secondary,557,yes,yes,no
24,admin.,single,secondary,795,yes,no,no
40,management,divorced,tertiary,-78,yes,no,no
32,blue-collar,married,primary,902,yes,no,no
43,technician,married,secondary,2344,yes,no,no
29,blue-collar,married,secondary,844,yes,no,no
34,admin.,single,secondary,0,yes,no,no
34,services,single,secondary,544,yes,no,no
24,blue-collar,single,primary,111,yes,yes,no
49,technician,divorced,secondary,-1547,yes,yes,no
37,services,married,secondary,-349,yes,no,no
26,technician,single,secondary,261,yes,no,no
43,management,married,tertiary,1379,yes,no,no
39,management,married,tertiary,-342,yes,no,no
36,management,single,tertiary,0,yes,no,no
25,entrepreneur,single,tertiary,6,yes,yes,no
47,entrepreneur,married,tertiary,362,yes,no,no
37,technician,married,secondary,427,yes,yes,no
20,student,single,tertiary,556,yes,no,no
28,management,married,tertiary,318,yes,no,no
29,management,single,secondary,-105,yes,no,no
31,services,married,secondary,-538,no,yes,no
26,student,single,secondary,2784,yes,no,no
41,admin.,married,secondary,920,yes,yes,no
48,housemaid,married,primary,627,yes,no,no
34,blue-collar,married,primary,244,yes,no,no
30,management,single,tertiary,0,yes,yes,no
34,technician,married,secondary,-34,yes,no,no
43,blue-collar,divorced,primary,6,yes,no,no
25,technician,divorced,tertiary,174,no,yes,no
40,management,single,tertiary,36,yes,no,no
35,management,single,tertiary,-208,yes,no,no
34,blue-collar,married,secondary,1412,yes,yes,no
26,technician,single,secondary,75,yes,no,no
30,self-employed,single,tertiary,2593,no,no,no
34,technician,married,secondary,-259,yes,no,no
45,technician,divorced,secondary,0,yes,no,no
44,blue-collar,married,primary,1432,yes,yes,no
34,unemployed,single,tertiary,906,yes,no,no
39,technician,married,primary,169,yes,no,no
47,admin.,married,secondary,-245,yes,no,no
35,blue-collar,married,primary,914,yes,no,no
49,blue-collar,divorced,primary,15,yes,no,no
28,technician,single,secondary,10865,yes,no,no
30,services,married,secondary,-932,no,no,no
31,blue-collar,married,secondary,77,yes,no,no
31,management,married,tertiary,1183,yes,no,no
39,management,married,tertiary,0,no,no,no
28,blue-collar,married,secondary,100,yes,yes,no
27,admin.,single,secondary,349,yes,no,no
35,blue-collar,married,primary,424,yes,no,no
47,technician,divorced,tertiary,-1148,yes,yes,no
33,admin.,married,secondary,-297,yes,no,no
34,technician,single,secondary,-476,yes,no,no
33,management,married,tertiary,1657,yes,no,no
33,technician,single,tertiary,231,yes,no,no
24,management,married,secondary,2278,yes,no,no
29,blue-collar,divorced,primary,2597,yes,no,no
42,services,married,secondary,3620,yes,no,no
57,blue-collar,married,primary,318,yes,no,no
39,management,married,tertiary,1598,yes,yes,no
33,blue-collar,married,primary,2615,yes,no,no
43,blue-collar,married,primary,-127,yes,no,no
26,blue-collar,married,secondary,2005,yes,no,no
32,management,married,tertiary,3809,yes,no,no
34,technician,single,tertiary,122,no,no,no
31,blue-collar,single,tertiary,-701,yes,no,no
48,blue-collar,married,primary,5172,yes,no,no
32,blue-collar,single,secondary,106,yes,no,no
55,management,married,tertiary,10065,no,no,no
38,blue-collar,single,primary,199,yes,no,no
36,services,single,secondary,260,yes,no,no
32,unknown,single,secondary,-274,no,yes,no
38,admin.,married,secondary,-247,yes,no,no
46,management,divorced,tertiary,-154,yes,yes,no
28,technician,single,tertiary,4513,yes,no,no
36,blue-collar,married,primary,8326,yes,no,no
44,blue-collar,single,secondary,-435,yes,no,no
27,blue-collar,married,secondary,0,no,no,no
39,management,married,secondary,1072,yes,no,no
37,admin.,single,secondary,0,no,no,no
38,entrepreneur,married,secondary,2849,yes,no,no
34,blue-collar,married,primary,100,yes,yes,no
32,technician,married,secondary,-71,yes,no,no
39,blue-collar,married,tertiary,206,yes,yes,no
52,admin.,married,secondary,-732,yes,yes,no
40,admin.,single,secondary,877,yes,no,no
56,admin.,married,secondary,292,yes,no,no
53,technician,divorced,secondary,392,yes,no,no
39,management,married,tertiary,139,no,yes,no
29,management,married,tertiary,-218,yes,no,no
32,management,married,secondary,350,yes,no,no
25,blue-collar,married,primary,657,yes,yes,no
30,unemployed,single,secondary,-770,yes,no,no
